cid,smiles
1254,CC1CCC(C(C1)O)C(C)C
1256,CC(=C)C1CCC(=CC1)C(=O)O
1292,C1=CC=C(C=C1)C(C(=O)O)O
1318,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1
1322,CNNC
1344,C1CCN(C1)CCN
1346,COC1=CC=CC=C1N2CCNCC2
1355,C1CN(CCN1)C2=CC(=CC=C2)Cl
1366,C1CCC(CC1)(C(=O)O)N
1374,C1C(C(C(C(N1)CO)O)O)O
1388,CN1CCC(=CC1)C2=CC=CC=C2
1390,CN1C=CN=C1
1474,C1=CC=NC(=C1)C2=CC=CC=N2
1480,C1=C(C(=CC(=C1Cl)Cl)Cl)OCC(=O)O
1483,C1=C(C=C(C(=C1Br)O)Br)Br
1486,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O
1489,C1=CC(=C(C=C1Cl)Cl)OCCCC(=O)O
1491,C1=CC(=C(C=C1O)O)C(=O)O
1493,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O
1530,CN1C2=C(N=CC(=C2)C3=CC=CC=C3)N=C1N
1533,CC1=CC(=NC=C1)N
1539,C1C2=CC=CC=C2C3=C1C=C(C=C3)N
1567,C(CS)O
1613,C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=CC(=C4)C(F)(F)F)CC(=O)O
1614,CC(CC1=CC2=C(C=C1)OCO2)N
1615,CC(CC1=CC2=C(C=C1)OCO2)NC
1639,C1=NNC(=N1)N
1645,C1=CC(=CC(=C1)N)C(=O)N
1669,COC1=C(C=CC(=C1)CCN)O
1674,CC1=C2CCC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1
1676,CCCN1C2=C(C(=O)NC1=O)NC=N2
1685,C1=CC(=CC=C1N)OC2C(C(C(C(O2)CO)O)O)O
1725,C1=CC(=CC=C1C(=N)N)N
1727,C1=CN=CC=C1N
1731,C1=CC(=C(C=C1O)O)Cl
1732,CC1=C(C=CC(=C1)O)Cl
1738,COC1=C(C=CC(=C1)CC(=O)O)O
1742,C1=CC(=CC=C1C(=O)NN)O
1752,CCCCCCCCCC1=CC=C(C=C1)O
1775,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3
1884,C1=CC2=C(C=C1Cl)NC(=CC2=O)C(=O)O
1923,C1=CC2=C(C(=C1)O)N=CC=C2
1935,C1CCC2=NC3=CC=CC=C3C(=C2C1)N
1972,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O
1978,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C
1981,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OCC(=O)O
1982,CC(=O)NP(=O)(OC)SC
1983,CC(=O)NC1=CC=C(C=C1)O
1986,CC(=O)NC1=NN=C(S1)S(=O)(=O)N
1988,CCC1=CC=CC(=C1N(COCC)C(=O)CCl)C
1989,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2
1990,CC(=O)NO
2019,CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C
2031,CCN(CC)CCOC(=O)C(C1=CC=CC=C1)C2=CC=CC=C2
2051,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)Cl)OC
2078,CCC1=C(C(=CC=C1)CC)N(COC)C(=O)CCl
2082,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
2083,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O
2086,CC(C)(C=NOC(=O)NC)SC
2087,C1C2C=CC1C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl
2088,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN
2092,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC
2099,CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C
2116,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C
2118,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4
2119,CC(C)NCC(COC1=CC=CC=C1CC=C)O
2122,C=CCSCC1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl
2123,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C
2130,C1C2CC3CC1CC(C2)(C3)N
2140,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I
2141,C(CN)CNCCSP(=O)(O)O
2145,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N
2148,C1=CC(=CC=C1C(=O)NCC(=O)O)N
2153,CN1C2=C(C(=O)N(C1=O)C)NC=N2
2155,C1=CSC(=N1)N
2157,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I
2159,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC
2160,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31
2161,CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N
2162,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN
2164,CCC1(C(=O)NC(=O)NC1=O)CCC(C)C
2165,CCN(CC)CC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O
2170,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
2179,COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42
2181,C1CCNC(C1)C2=CN=CC=C2
2187,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N
2194,COC1=CC=C(C=C1)C2=CC(=S)SS2
2197,COC1=CC=C(C=C1)C2C(=O)C3=CC=CC=C3C2=O
2200,C1CN=C(N1)CN(CC2=CC=CC=C2)C3=CC=CC=C3
2201,C1=CC=C2C(=C1)C=C3C=CC=CC3=C2C(=O)O
2206,CC1=CC(=O)N(N1C)C2=CC=CC=C2
2216,C1CN=C(N1)NC2=C(C=C(C=C2Cl)N)Cl
2218,CCN(CC)CCCN(C1CC2=CC=CC=C2C1)C3=CC=CC=C3
2230,CN1CCC=C(C1)C(=O)OC
2239,CC(C)(C)NCC(CSC1=NC(=CS1)C2=CC=C(S2)C(=O)N)O
2240,CC1CCC2C(C(=O)OC3C24C1CCC(O3)(OO4)C)C
2244,CC(=O)OC1=CC=CC=C1C(=O)O
2247,COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F
2249,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O
2256,CCNC1=NC(=NC(=N1)Cl)NC(C)C
2265,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-]
2266,C(CCCC(=O)O)CCCC(=O)O
2267,CN1CCCC(CC1)N2C(=O)C3=CC=CC=C3C(=N2)CC4=CC=C(C=C4)Cl
2268,COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2N=N1
2269,CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O
2272,C1=CC=C(C=C1)N=NC2=CC=CC=C2
2277,CCN1CCC2=C(CC1)OC(=N2)N
2284,C1=CC(=CC=C1C(CC(=O)O)CN)Cl
2286,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4
2294,CCC1(C(=O)NC(=O)NC1=O)CC
2314,CC1(OC2=C(O1)C(=CC=C2)OC(=O)NC)C
2315,C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2
2319,CCCCN(CC)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]
2328,CC(C)N1C(=O)C2=CC=CC=C2NS1(=O)=O
2331,C1=CC=C(C=C1)C(=O)N
2334,C1(=C(C(=C(C(=C1C(=O)O)C(=O)O)C(=O)O)C(=O)O)C(=O)O)C(=O)O
2336,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3
2337,CCOC(=O)C1=CC=C(C=C1)N
2342,CCN(CC)C(=O)C1CN2CCC3=CC(=C(C=C3C2CC1OC(=O)C)OC)OC
2343,C1=CC=C(C=C1)CSCC2=NS(=O)(=O)C3=CC(=C(C=C3N2)Cl)S(=O)(=O)N
2345,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2
2346,C1=CC=C(C=C1)CN=C=S
2347,CCCCOC(=O)C1=CC=CC=C1C(=O)OCC2=CC=CC=C2
2348,C1=CC=C(C=C1)CC2NC3=CC(=C(C=C3S(=O)(=O)N2)S(=O)(=O)N)Cl
2349,CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C
2351,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3
2355,COC1=C2C=CC(=O)OC2=CC3=C1C=CO3
2365,C1COC1=O
2366,CNCCC1=CC=CC=N1
2368,CNC(=NC)NCC1=CC=CC=C1
2369,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O
2372,CC1=CC(=CC=C1)OCC(CNCCC2=CC(=C(C=C2)OC)OC)O
2375,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O
2378,C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=CC=C3)N4C=CN=C4
2381,C1CCN(CC1)CCC(C2CC3CC2C=C3)(C4=CC=CC=C4)O
2391,CC(=O)OC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC(=O)C)C3=CC=CC=N3
2405,CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O
2406,C1=C(C=C(C(=C1SC2=C(C(=CC(=C2)Cl)Cl)O)O)Cl)Cl
2435,C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br
2441,C1C(=O)NC2=C(C=C(C=C2)Br)C(=N1)C3=CC=CC=N3
2442,CN(CC1=C(C(=CC(=C1)Br)Br)N)C2CCCCC2
2444,CN(C)CCOC(C1=CC=CC=C1)C2=CC=C(C=C2)Br
2446,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Br
2447,CC(C)C(C(=O)NC(=O)N)Br
2450,C(C(CO)([N+](=O)[O-])Br)O
2451,CC1=NN=C2N1C3=C(C=C(S3)Br)C(=NC2)C4=CC=CC=C4Cl
2462,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C
2466,CCCCOC1=CC=C(C=C1)CC(=O)NO
2468,CCCCN=C(N)N=C(N)N
2471,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2
2473,CC(C)(C)NCC(COC1=CC=CC=C1C#N)O
2474,CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C
2475,CC1=CC(=C(C=C1)Cl)OCC(CNC(C)(C)C)O
2477,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4
2478,CS(=O)(=O)OCCCCOS(=O)(=O)C
2479,CCC(C)C1(C(=O)NC(=O)NC1=O)CC
2481,CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C
2482,CCCCOC(=O)C1=CC=C(C=C1)N
2484,CC(C)(C)C1=CC=C(C=C1)CN(C)CC2=CC=CC3=CC=CC=C32
2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
2520,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
2524,CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C
2533,CC(CC1=C2C3=C(C(=C(C4=C3C(=C5C2=C(C(=O)C=C5OC)C(=C1OC)O)C(=CC4=O)OC)O)OC)CC(C)OC(=O)OC6=CC=C(C=C6)O)OC(=O)C7=CC=CC=C7
2537,CC1(C2CCC1(C(=O)C2)C)C
2540,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)OC(C)OC(=O)OC6CCCCC6
2541,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O
2551,C[N+](C)(C)CCOC(=O)N
2554,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N
2564,CN(C)CCOC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2
2566,CC1(CC2=C(O1)C(=CC=C2)OC(=O)NC)C
2569,CC1=C(C(=O)C(=C(C1=O)N2CC2)C(COC(=O)N)OC)N3CC3
2576,CCCC(C)(COC(=O)N)COC(=O)NC(C)C
2577,CCCCCCNC(=O)N1C=C(C(=O)NC1=O)F
2578,C(CCl)NC(=O)N(CCCl)N=O
2581,CC(C1=CC2=C(C=C1)C3=C(N2)C=CC(=C3)Cl)C(=O)O
2583,CC(C)(C)NCC(COC1=CC=CC2=C1CCC(=O)N2)O
2585,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O
2603,C1=CC(=CC(=C1)Cl)NN=C(C#N)C#N
2659,CON=C(C1=CC=CO1)C(=O)NC2C3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)O
2662,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
2663,CCN(CC)C(=O)NC1=CC(=C(C=C1)OCC(CNC(C)(C)C)O)C(=O)C
2676,CC(C)C1=C(C(=C(C(=N1)C(C)C)COC)C2=CC=C(C=C2)F)C=CC(CC(CC(=O)O)O)O
2678,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl
2682,CCCCCCCCCCCCCCCCO
2684,CC1OC2(CN3CCC2CC3)CS1
2707,C(C(Cl)(Cl)Cl)(O)O
2708,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl
2710,CN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl
2712,CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O
2713,C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl
2716,COC(CNC(=O)N)C[Hg]Cl
2717,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl
2719,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl
2720,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2
2722,C1=CC2=C(C(=C(C=C2Cl)Cl)O)N=C1
2723,CC1=CC(=CC(=C1Cl)C)O
2725,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2
2726,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl
2727,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl
2728,CC(C)OC(=O)NC1=CC(=CC=C1)Cl
2729,CN(C)CCC=C1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl
2730,CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl
2732,C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O
2733,C1=CC2=C(C=C1Cl)NC(=O)O2
2741,C1=CC=C2C(=C1)C(=O)C=C(O2)C(=O)O
2749,CC1=CC(=O)N(C(=C1)C2CCCCC2)O
2754,C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4
2756,CC1=C(N=CN1)CSCCNC(=NC)NC#N
2757,C=CC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O
2758,CC1(C2CCC(O1)(CC2)C)C
2761,C1CN(CCN1CC=CC2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4
2762,CCN1C2=CC3=C(C=C2C(=O)C(=N1)C(=O)O)OCO3
2764,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O
2767,[NH2-].[NH2-].Cl[Pt+2]Cl
2771,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F
2780,COC1=CC(=C(C=C1C(=O)NC2CCN(CC2)CC3=CC=CC=C3)Cl)N
2786,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)Cl
2789,CN1C(=O)CC(=O)N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3
2794,CC(C)N=C1C=C2C(=NC3=CC=CC=C3N2C4=CC=C(C=C4)Cl)C=C1NC5=CC=C(C=C5)Cl
2796,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl
2797,CC(C)(C(=O)O)OC1=CC=C(C=C1)Cl
2800,CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3
2801,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl
2802,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl
2803,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl
2809,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)C(=O)O
2811,CCC1=CC2=C(S1)N(C(=O)CN=C2C3=CC=CC=C3Cl)C
2812,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4
2817,C1=CC2=C(C=CC(=C2N=C1)O)Cl
2826,CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC
2833,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC
2857,CCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)Br)OCC
2871,CCOP(=S)(OCC)OC1=CC2=C(C=C1)C(=C(C(=O)O2)Cl)C
2879,CC1=CC=C(C=C1)O
2882,C1=CC2=C(C(=C1)OCC(COC3=CC=CC4=C3C(=O)C=C(O4)C(=O)O)O)C(=O)C=C(O2)C(=O)O
2883,CCN(C1=CC=CC=C1C)C(=O)C=CC
